Fruit,fruit size (mm),Left Sensor Disp 2mm 1 (N),Left Sensor Disp 2mm 2 (N),Left Sensor Disp 2mm 3 (N),Left Sensor Disp 2mm 4 (N),Left Sensor Disp 2mm 5 (N),Left Sensor Disp 2mm 6 (N),Left Sensor Disp 2mm 7 (N),Left Sensor Disp 2mm 8 (N),Left Sensor Disp 2mm 9 (N),Left Sensor Disp 2mm 10 (N),Left Sensor Disp 2mm 11 (N),Left Sensor Disp 2mm 12 (N),Left Sensor Disp 2mm 13 (N),Left Sensor Disp 2mm 14 (N),Left Sensor Disp 2mm 15 (N),Right Sensor Disp 2mm 1 (N),Right Sensor Disp 2mm 2 (N),Right Sensor Disp 2mm 3 (N),Right Sensor Disp 2mm 4 (N),Right Sensor Disp 2mm 5 (N),Right Sensor Disp 2mm 6 (N),Right Sensor Disp 2mm 7 (N),Right Sensor Disp 2mm 8 (N),Right Sensor Disp 2mm 9 (N),Right Sensor Disp 2mm 10 (N),Right Sensor Disp 2mm 11 (N),Right Sensor Disp 2mm 12 (N),Right Sensor Disp 2mm 13 (N),Right Sensor Disp 2mm 14 (N),Right Sensor Disp 2mm 15 (N),Left Sensor Disp 4mm 1 (N),Left Sensor Disp 4mm 2 (N),Left Sensor Disp 4mm 3 (N),Left Sensor Disp 4mm 4 (N),Left Sensor Disp 4mm 5 (N),Left Sensor Disp 4mm 6 (N),Left Sensor Disp 4mm 7 (N),Left Sensor Disp 4mm 8 (N),Left Sensor Disp 4mm 9 (N),Left Sensor Disp 4mm 10 (N),Left Sensor Disp 4mm 11 (N),Left Sensor Disp 4mm 12 (N),Left Sensor Disp 4mm 13 (N),Left Sensor Disp 4mm 14 (N),Left Sensor Disp 4mm 15 (N),Right Sensor Disp 4mm 1 (N),Right Sensor Disp 4mm 2 (N),Right Sensor Disp 4mm 3 (N),Right Sensor Disp 4mm 4 (N),Right Sensor Disp 4mm 5 (N),Right Sensor Disp 4mm 6 (N),Right Sensor Disp 4mm 7 (N),Right Sensor Disp 4mm 8 (N),Right Sensor Disp 4mm 9 (N),Right Sensor Disp 4mm 10 (N),Right Sensor Disp 4mm 11 (N),Right Sensor Disp 4mm 12 (N),Right Sensor Disp 4mm 13 (N),Right Sensor Disp 4mm 14 (N),Right Sensor Disp 4mm 15 (N),Left Sensor Disp 6mm 1 (N),Left Sensor Disp 6mm 2 (N),Left Sensor Disp 6mm 3 (N),Left Sensor Disp 6mm 4 (N),Left Sensor Disp 6mm 5 (N),Left Sensor Disp 6mm 6 (N),Left Sensor Disp 6mm 7 (N),Left Sensor Disp 6mm 8 (N),Left Sensor Disp 6mm 9 (N),Left Sensor Disp 6mm 10 (N),Left Sensor Disp 6mm 11 (N),Left Sensor Disp 6mm 12 (N),Left Sensor Disp 6mm 13 (N),Left Sensor Disp 6mm 14 (N),Left Sensor Disp 6mm 15 (N),Right Sensor Disp 6mm 1 (N),Right Sensor Disp 6mm 2 (N),Right Sensor Disp 6mm 3 (N),Right Sensor Disp 6mm 4 (N),Right Sensor Disp 6mm 5 (N),Right Sensor Disp 6mm 6 (N),Right Sensor Disp 6mm 7 (N),Right Sensor Disp 6mm 8 (N),Right Sensor Disp 6mm 9 (N),Right Sensor Disp 6mm 10 (N),Right Sensor Disp 6mm 11 (N),Right Sensor Disp 6mm 12 (N),Right Sensor Disp 6mm 13 (N),Right Sensor Disp 6mm 14 (N),Right Sensor Disp 6mm 15 (N),Left Sensor Disp 8mm 1 (N),Left Sensor Disp 8mm 2 (N),Left Sensor Disp 8mm 3 (N),Left Sensor Disp 8mm 4 (N),Left Sensor Disp 8mm 5 (N),Left Sensor Disp 8mm 6 (N),Left Sensor Disp 8mm 7 (N),Left Sensor Disp 8mm 8 (N),Left Sensor Disp 8mm 9 (N),Left Sensor Disp 8mm 10 (N),Left Sensor Disp 8mm 11 (N),Left Sensor Disp 8mm 12 (N),Left Sensor Disp 8mm 13 (N),Left Sensor Disp 8mm 14 (N),Left Sensor Disp 8mm 15 (N),Right Sensor Disp 8mm 1 (N),Right Sensor Disp 8mm 2 (N),Right Sensor Disp 8mm 3 (N),Right Sensor Disp 8mm 4 (N),Right Sensor Disp 8mm 5 (N),Right Sensor Disp 8mm 6 (N),Right Sensor Disp 8mm 7 (N),Right Sensor Disp 8mm 8 (N),Right Sensor Disp 8mm 9 (N),Right Sensor Disp 8mm 10 (N),Right Sensor Disp 8mm 11 (N),Right Sensor Disp 8mm 12 (N),Right Sensor Disp 8mm 13 (N),Right Sensor Disp 8mm 14 (N),Right Sensor Disp 8mm 15 (N)
0,69.50297375,1.266875,1.22125,1.265,1.699375,1.51125,1.235,4.628125,4.1975,1.2425,2.200625,1.865625,1.244375,1.25,1.6425,1.070625,1.355625,1.01625,1.385625,0.945625,1.40875,1.175,1.3625,4.28,4.221875,1.3475,4.1975,3.159375,1.30375,1.483125,1.23875,1.27875,1.218125,1.26375,1.69375,1.514375,1.235625,4.628125,4.1975,1.2425,2.200625,1.865,1.243125,1.24875,1.633125,1.075625,1.359375,1.011875,1.395,0.941875,1.41875,1.18125,1.36875,4.281875,4.216875,1.34375,4.20375,3.164375,1.293125,1.47875,1.235,1.283125,1.2175,1.26875,1.91375,1.615,1.234375,4.765625,4.46375,1.2325,2.610625,2.07875,1.245,1.249375,1.633125,1.07625,1.359375,1.02,1.413125,0.94625,1.4425,1.24,1.413125,4.643125,4.480625,1.345625,4.6025,3.515,1.3,1.486875,1.251875,1.29,1.223125,1.26625,2.31,1.840625,1.23125,4.8775,4.781875,1.256875,3.084375,2.47875,1.2425,1.248125,1.63875,1.075625,1.354375,1.046875,1.4125,0.945625,1.49875,1.37,1.479375,5.04625,4.753125,1.395625,5.041875,3.9125,1.284375,1.475625,1.255
0,68.3323336,1.2775,1.216875,1.26625,1.27875,1.330625,1.2325,4.066875,4.47625,1.49875,3.955,3.955625,1.550625,1.246875,1.63625,1.078125,1.361875,1.063125,1.46625,0.95125,1.50625,2.68,1.29,3.295,4.89875,1.305,1.6625,2.255625,1.3,1.494375,1.238125,1.28375,1.215625,1.258125,1.26625,1.326875,1.22625,4.066875,4.475625,1.498125,3.955625,3.9625,1.560625,1.25125,1.64125,1.076875,1.355625,1.061875,1.4575,0.948125,1.508125,2.6925,1.286875,3.315,4.906875,1.306875,1.6725,2.275,1.308125,1.494375,1.25375,1.284375,1.21875,1.263125,1.28875,1.32875,1.23,4.17375,4.615625,1.605625,4.09125,4.140625,1.65625,1.249375,1.6475,1.0775,1.3475,1.08625,1.478125,0.9425,1.5425,2.855,1.27875,3.6125,4.975625,1.315,1.7325,2.38,1.315625,1.498125,1.233125,1.279375,1.214375,1.264375,1.300625,1.344375,1.23,4.364375,4.84625,1.85375,4.35,4.47125,1.940625,1.2575,1.64875,1.070625,1.35625,1.09875,1.49875,0.949375,1.6475,3.156875,1.305625,4.246875,5.07875,1.32125,1.893125,2.675625,1.30875,1.4875,1.246875
0,70.55508785,1.26375,1.215,1.264375,1.7075,1.430625,1.22875,4.676875,4.465,1.2725,1.676875,1.954375,1.23375,1.2475,1.636875,1.07125,1.35375,1.04625,1.3725,1.0525,3.91625,2.880625,1.48375,4.4175,2.85875,1.305625,1.44375,1.27375,1.3175,1.499375,1.23375,1.270625,1.219375,1.263125,1.705,1.411875,1.23,4.68,4.469375,1.2725,1.673125,1.9575,1.23125,1.245,1.635,1.069375,1.371875,1.04375,1.361875,1.07125,3.92875,2.88875,1.478125,4.42,2.866875,1.3075,1.444375,1.275,1.319375,1.5075,1.25375,1.271875,1.21875,1.270625,1.86875,1.523125,1.230625,4.809375,4.753125,1.344375,1.865625,2.251875,1.239375,1.25,1.631875,1.081875,1.36,1.069375,1.385,1.128125,4.405625,3.225625,1.609375,4.849375,3.196875,1.323125,1.456875,1.2725,1.3,1.495,1.246875,1.274375,1.214375,1.256875,2.1425,1.70125,1.235625,4.906875,5.026875,1.64375,2.17,2.6025,1.258125,1.25125,1.648125,1.0775,1.375625,1.128125,1.4125,1.238125,4.906875,3.685625,1.868125,5.28625,3.64125,1.328125,1.485,1.286875,1.298125,1.493125,1.251875
0,69.25179661,1.28125,1.21625,1.258125,3.135625,3.98375,1.3725,3.369375,3.86625,1.31625,1.32125,1.4725,1.2425,1.235,1.6225,1.07,1.346875,1.07,1.45125,0.94375,1.738125,2.63875,1.289375,3.010625,4.914375,1.314375,1.453125,1.6775,1.30625,1.485,1.23375,1.285625,1.225,1.263125,3.13375,3.981875,1.371875,3.3675,3.86625,1.315625,1.32,1.468125,1.231875,1.238125,1.6325,1.075625,1.355,1.06375,1.458125,0.95,1.73,2.651875,1.28,3.02125,4.919375,1.31375,1.439375,1.66375,1.305625,1.485625,1.248125,1.271875,1.22375,1.2475,3.261875,4.155,1.44,3.521875,4.0125,1.36125,1.315,1.465625,1.234375,1.239375,1.629375,1.0625,1.353125,1.064375,1.459375,0.95,1.8275,2.80875,1.271875,3.24,5.016875,1.31375,1.46,1.831875,1.29625,1.4825,1.239375,1.2975,1.2425,1.255625,3.555625,4.516875,1.758125,3.88,4.34,1.60625,1.320625,1.463125,1.24875,1.248125,1.63,1.063125,1.34625,1.085625,1.485625,0.949375,2.120625,3.156875,1.283125,3.8075,5.1825,1.315625,1.5475,2.250625,1.294375,1.478125,1.225625
0,68.60023152,1.276875,1.2175,1.259375,2.693125,2.680625,1.465,4.18375,5.073125,2.321875,1.5225,1.963125,1.243125,1.241875,1.630625,1.074375,1.35375,1.076875,1.88,0.95375,2.06875,4.53,1.284375,1.719375,3.940625,1.323125,1.443125,1.313125,1.315,1.51,1.255,1.270625,1.219375,1.2625,2.694375,2.684375,1.4675,4.1875,5.08375,2.32125,1.5225,1.97375,1.234375,1.2475,1.629375,1.063125,1.3475,1.07125,1.88125,0.9625,2.069375,4.53375,1.28,1.71375,3.941875,1.304375,1.443125,1.31375,1.31625,1.49875,1.248125,1.27125,1.22,1.263125,2.81,2.85875,1.52,4.323125,5.141875,2.433125,1.61625,2.128125,1.24625,1.241875,1.624375,1.079375,1.3525,1.09375,2.00625,0.963125,2.40375,4.71,1.27875,1.80875,4.095625,1.315,1.455,1.32,1.31375,1.5025,1.255,1.2725,1.235625,1.2575,3.055,3.198125,1.655625,4.555,5.231875,2.673125,1.949375,2.56375,1.25875,1.244375,1.641875,1.0725,1.360625,1.144375,2.38,0.966875,3.19875,4.963125,1.29375,2.1925,4.41875,1.3075,1.4525,1.348125,1.3175,1.5,1.23375
0,69.27946944,1.24875,1.214375,1.264375,1.260625,1.36125,1.23375,2.270625,4.5,2.2675,2.406875,5.19625,2.321875,1.2425,1.705,1.08,1.36375,1.136875,1.521875,1.08,4.54875,4.21375,1.30625,2.721875,2.826875,1.32125,1.4475,1.279375,1.320625,1.515625,1.25,1.26,1.22125,1.256875,1.25625,1.37125,1.23125,2.268125,4.50375,2.271875,2.40375,5.19875,2.32,1.239375,1.701875,1.07625,1.361875,1.136875,1.525625,1.07875,4.555625,4.21375,1.298125,2.726875,2.824375,1.320625,1.445625,1.278125,1.313125,1.516875,1.255,1.256875,1.226875,1.255625,1.256875,1.398125,1.24625,2.6275,4.70875,2.505625,2.76125,5.3625,2.55125,1.233125,1.734375,1.080625,1.369375,1.185,1.595,1.151875,4.919375,4.480625,1.321875,3.14375,3.11875,1.32375,1.441875,1.279375,1.3075,1.51,1.24625,1.258125,1.23375,1.26375,1.259375,1.53875,1.2975,3.0925,4.94,2.915625,3.2625,5.52125,2.9325,1.243125,1.859375,1.108125,1.383125,1.2825,1.726875,1.353125,5.288125,4.756875,1.4175,3.80125,3.599375,1.32,1.436875,1.280625,1.328125,1.51625,1.2475
0,70.12935025,1.25125,1.2175,1.2625,1.24,1.336875,1.223125,1.355625,1.429375,1.265,2.23,5.345625,3.31875,1.345,3.05375,1.375625,1.360625,1.028125,1.4025,0.97375,1.45875,1.128125,2.68125,5.12875,3.95625,1.97875,2.719375,2.17375,1.315625,1.498125,1.2325,1.259375,1.221875,1.258125,1.25,1.340625,1.235625,1.355625,1.429375,1.2625,2.23,5.354375,3.31375,1.34125,3.064375,1.365625,1.36125,1.03,1.4025,0.974375,1.459375,1.135625,2.688125,5.11875,3.955625,1.978125,2.718125,2.173125,1.306875,1.50875,1.255,1.24875,1.215625,1.25875,1.245625,1.3275,1.225,1.360625,1.485625,1.275,2.555625,5.48875,3.589375,1.455,3.4825,1.483125,1.371875,1.028125,1.4175,0.97375,1.506875,1.155,3.005,5.37625,4.23625,2.193125,3.160625,2.52375,1.31625,1.49875,1.24875,1.250625,1.226875,1.264375,1.25,1.3475,1.234375,1.385625,1.605625,1.2875,3.000625,5.59375,3.863125,1.638125,3.950625,1.691875,1.37875,1.045625,1.43625,0.99125,1.55875,1.210625,3.39375,5.594375,4.508125,2.46,3.694375,2.9775,1.31375,1.504375,1.248125
0,69.2656333,1.29875,1.21875,1.254375,1.280625,1.334375,1.234375,1.385625,1.304375,1.25,2.88125,3.97625,1.283125,4.180625,5.716875,1.205,1.354375,1.03,1.42625,0.95,1.4375,1.16875,1.615625,4.37125,3.628125,1.450625,4.124375,3.534375,1.300625,1.493125,1.24875,1.289375,1.206875,1.248125,1.273125,1.33375,1.241875,1.37875,1.304375,1.2575,2.87625,3.9775,1.27875,4.183125,5.726875,1.201875,1.35625,1.03875,1.43125,0.955625,1.429375,1.17625,1.60875,4.385,3.615,1.4425,4.131875,3.534375,1.3075,1.49375,1.245,1.299375,1.20875,1.25,1.289375,1.32875,1.2375,1.38875,1.30625,1.250625,3.19125,4.35125,1.3475,4.42125,6.031875,1.369375,1.359375,1.051875,1.435,0.955625,1.454375,1.21125,1.754375,4.794375,3.945,1.5075,4.556875,3.9475,1.299375,1.491875,1.24875,1.311875,1.215625,1.250625,1.299375,1.333125,1.234375,1.41,1.3175,1.248125,3.66,4.72,1.509375,4.64375,6.269375,1.676875,1.3625,1.071875,1.45125,0.959375,1.51375,1.26625,1.965625,5.19,4.241875,1.649375,4.98625,4.3175,1.308125,1.501875,1.2875
0,70.53472191,1.260625,1.20625,1.25625,1.250625,1.321875,1.215,3.3125,4.29,1.2825,2.994375,4.019375,1.313125,1.24125,1.6475,1.07,1.36125,1.06,1.44625,0.961875,1.525,1.410625,1.348125,4.234375,4.735625,1.3325,2.255625,2.1525,1.305625,1.495625,1.248125,1.25625,1.20875,1.250625,1.25125,1.323125,1.215625,3.315,4.293125,1.28125,2.9875,4.01875,1.319375,1.2425,1.649375,1.0775,1.3475,1.06125,1.45375,0.9625,1.524375,1.410625,1.341875,4.23375,4.741875,1.33125,2.2625,2.15875,1.306875,1.495625,1.239375,1.2475,1.2075,1.250625,1.2575,1.32625,1.21875,3.716875,4.50625,1.315,3.286875,4.38,1.36125,1.250625,1.656875,1.080625,1.364375,1.0525,1.454375,0.94625,1.59625,1.550625,1.401875,4.750625,4.941875,1.345625,2.58875,2.351875,1.3075,1.49375,1.2475,1.275625,1.215625,1.260625,1.30375,1.354375,1.22625,4.1975,4.7975,1.38875,3.6875,4.823125,1.466875,1.246875,1.66125,1.0775,1.3625,1.08,1.475625,0.95625,1.7125,1.780625,1.550625,5.27625,5.1075,1.389375,3.10125,2.5925,1.30625,1.49625,1.246875
0,68.50727807,1.27625,1.231875,1.26625,1.30375,1.59,1.245,4.07125,4.815625,2.986875,2.474375,3.64375,2.190625,1.24625,1.63625,1.078125,1.3625,1.071875,1.468125,0.9625,1.7275,2.79,1.28875,3.31125,4.781875,1.320625,1.566875,1.83625,1.306875,1.503125,1.231875,1.265625,1.23,1.266875,1.30375,1.589375,1.24375,4.07125,4.81625,2.995625,2.478125,3.646875,2.189375,1.243125,1.6325,1.083125,1.345,1.068125,1.48,0.960625,1.72625,2.7875,1.27875,3.31375,4.78375,1.315,1.56875,1.843125,1.308125,1.49875,1.249375,1.275,1.231875,1.263125,1.345,1.7275,1.260625,4.253125,4.953125,3.209375,2.63,3.874375,2.368125,1.241875,1.63,1.071875,1.361875,1.066875,1.484375,0.95625,1.851875,3.03375,1.29375,3.720625,4.9225,1.319375,1.661875,2.028125,1.3125,1.51,1.2475,1.27125,1.23625,1.27375,1.450625,2.036875,1.30125,4.511875,5.099375,3.535625,2.908125,4.213125,2.651875,1.235,1.631875,1.08,1.361875,1.08,1.495625,0.9625,2.295625,3.378125,1.303125,4.3425,5.058125,1.321875,1.884375,2.371875,1.3,1.495,1.25375
