Terrain,Normalized Capacitance,Resistance,Pressure
0,0.01463,23151.31409,0
0,0.00146,22674.89258,4.9
0,0.00218,22831.70391,9.8
0,1.20E-04,22971.16667,24.5
0,7.89E-04,23088.89037,49
0,0.00265,23204.73521,73.5
0,4.30E-04,23321.19346,98
0,9.69E-04,23443.95771,0
0,5.35E-04,23565.40777,4.9
0,6.37E-04,23692.6007,9.8
0,0.00115,23696.63208,24.5
0,1.27E-04,23800.40406,49
0,1.02E-04,23911.08548,73.5
0,9.69E-04,23792.32194,98
0,0.00228,23895.94412,0
0,7.61E-04,23999.14668,4.9
0,1.90E-04,23993.46229,9.8
0,2.17E-04,24113.77414,24.5
0,9.24E-04,24074.93024,49
0,0.0013,24201.60089,73.5
0,0.00101,24091.53153,98
1,0.00105,29431.16877,0
1,0.00265,34479.67704,4.9
1,0.0015,35586.79604,9.8
1,0.00896,36224.52347,24.5
1,9.25E-04,36070.13209,49
1,0.00169,36258.59975,73.5
1,0.00284,36096.59029,98
1,3.86E-04,36199.8816,0
1,9.64E-05,36363.08295,4.9
1,9.64E-05,36493.00794,9.8
1,0.00582,36776.77188,24.5
1,6.43E-05,36539.04942,49
1,0.0198,36645.11649,73.5
1,9.96E-04,36787.32595,98
1,0.00403,36676.17795,0
1,0.00392,36491.42271,4.9
1,0.00128,36271.05721,9.8
1,0.01049,36405.36599,24.5
1,6.94E-05,36184.10168,49
1,2.78E-04,36340.70136,73.5
1,0.01066,36153.9224,98
2,1.72E-04,20157.49,0
2,8.02E-04,20899.53,4.9
2,4.01E-04,20857.98,9.8
2,0.00699,20261.18,24.5
2,0.00149,20818.2,49
2,5.73E-05,20725.37,73.5
2,0.00367,20701.57,98
2,0.01,20028.28,0
2,0.00233,20819.14,4.9
2,0.00904,20865.47,9.8
2,0.00153,20193,24.5
2,5.68E-05,20169.75,49
2,0.00165,20382.01,73.5
2,0.00722,20207.51,98
2,0.00587,20141.89,0
2,0.00412,20799.27,4.9
